,csat_0/µM,ccon_0/mM,csat_2/µM,ccon_2/mM,csat_3/µM,ccon_3/mM,csat_mean/µM,csat_sd/µM,ccon_mean/mM,ccon_sd/mM
WT_pH6,49.110014285998076,6.247879394282324,48.35028177107292,6.31414252718383,49.06746211462333,6.290278038965312,48.84258605723144,0.3485448841968708,6.284099986810489,0.02740227413678708
WT_pH7,48.74870365513287,6.040440637918716,62.17832322895111,6.109727847288294,59.02880206625683,6.111088779521249,56.65194298344693,5.734443582366842,6.08708575490942,0.032987757713460755
WT,80.61151461302126,5.903636066388438,74.92100414386783,5.914242967378486,70.72821282282587,5.9165531722226214,75.42024385990499,4.050254624882365,5.911477401996515,0.005624302605321462
H25S_Clust,82.42895715553374,5.729755605364584,95.60611028889988,5.721788312286554,84.67757878051907,5.74211332640529,87.57088207498423,5.755446356299833,5.731219081352143,0.008361932440384261
H25S,84.43554614156416,5.730025791669932,94.23798145776023,5.748419057371632,93.21185464193627,5.748184863173639,90.62846074708689,4.399043649401596,5.742209904071735,0.008615998993941998
H50S_Clust,105.89039296947776,5.57001037685259,104.2453449799125,5.562231557288295,96.71255187981065,5.599512189499689,102.2827632764003,3.995579805569828,5.577251374546858,0.016057924735710036
H50S,99.30695459561045,5.514800493503694,93.7138334209746,5.519927944634534,106.42821662007776,5.551960232495701,99.81633487888762,5.203107163875118,5.528896223544643,0.01644250731986359
