,csat_ave/µM,csat_err/µM,ccon_ave/mM,ccon_err/mM
WT,64.35381729383742,4.9478106140528535,5.625252389142102,0.011049412419581323
H25S_Clust,88.2227844001949,8.000480008596258,5.437195933123003,0.0167088754343533
H25S,81.08859105765337,7.417638069478189,5.45750738455273,0.018257256135180165
H50S_Clust,128.54631995235937,13.454528838055783,5.328706565488557,0.016718276686403404
WT pH6,54.575003722938135,3.714997186736925,5.995224645268854,0.008087869604483901
H50S,115.65930458715088,7.243763594869096,5.26569708142968,0.013325723728312477
WT pH7,51.39719150092774,7.197912172669803,5.805552502900897,0.014120943265525415
