Construct,ProtConc,SaltConc,csat_mean,csat_std
WT,30,100,1.24,0.2439070861345907
H25S_Clust,30,100,2.861333333333333,0.0779757797153847
H25S,30,100,10.515,0.1666153254255638
H50S_Clust,30,100,27.889,0.1968197144597045
H50S,30,100,28.064000000000004,1.0709158074595158
